Start the SDDP algorithm 
Use Papadakos method to generate strong cuts: True 
Generate  cuts with linear relaxation: False 
Generate  WarmUp cuts in SDDP: True 
Generate  cuts with LBF: True 
Generate  cuts with two-stage solution: False 
Use valid inequalities: False 
Run SDDP in a single tree: False 
SDDP setting: 'JustYFix' 
Iteration: 83, Duration: 10828, LB: 5139030.076635843, (exp UB:4894266.927219092),  Gap: -5.00,  Fixed x: True,  Fixed thetavar: True  
Iteration: 84, Duration: 10991, LB: 5139030.076635843, (exp UB:4892206.424674164),  Gap: -5.05,  Fixed x: True,  Fixed thetavar: True  
Iteration: 85, Duration: 11111, LB: 5139030.076635843, (exp UB:4889728.8372196555),  Gap: -5.10,  Fixed x: True,  Fixed thetavar: True  
Iteration: 86, Duration: 11241, LB: 5139030.076635843, (exp UB:4888797.908247377),  Gap: -5.12,  Fixed x: True,  Fixed thetavar: True  
Iteration: 87, Duration: 11413, LB: 5139030.076635843, (exp UB:4889479.087909182),  Gap: -5.10,  Fixed x: True,  Fixed thetavar: True  
Iteration: 88, Duration: 11547, LB: 5139030.076635843, (exp UB:4889254.782339332),  Gap: -5.11,  Fixed x: True,  Fixed thetavar: True  
Iteration: 89, Duration: 11693, LB: 5139030.076635843, (exp UB:4889968.484981455),  Gap: -5.09,  Fixed x: True,  Fixed thetavar: True  
Iteration: 90, Duration: 11846, LB: 5139030.076635843, (exp UB:4891819.581323187),  Gap: -5.05,  Fixed x: True,  Fixed thetavar: True  
Iteration: 91, Duration: 11958, LB: 5139030.076635843, (exp UB:4892536.729115011),  Gap: -5.04,  Fixed x: True,  Fixed thetavar: True  
Iteration: 92, Duration: 12100, LB: 5139030.075694442, (exp UB:5234213.796008387),  Gap: 1.82,  Fixed x: True,  Fixed thetavar: True  
Iteration: 93, Duration: 12250, LB: 5139362.864215413, (exp UB:5775320.726071549),  Gap: 11.01,  Fixed x: True,  Fixed thetavar: True  
Iteration: 94, Duration: 12438, LB: 5139030.717955794, (exp UB:4893868.844082103),  Gap: -5.01,  Fixed x: True,  Fixed thetavar: True  
